"","treatment","jar_id","day","site","jar_count","replicate","count","is_decreasing","is_all_decreasing"
"10514","20C",20,3,"CI5",721,924,43,TRUE,TRUE
"10515","20C",20,6,"CI5",658,924,38,TRUE,TRUE
"10516","20C",20,9,"CI5",398,924,22,TRUE,TRUE
"10517","20C",20,11,"CI5",245,924,17,TRUE,TRUE
"10518","20C",20,14,"CI5",143,924,10,TRUE,TRUE
"10519","20C",20,1,"CI5",822,925,46,TRUE,TRUE
"10520","20C",20,3,"CI5",704,925,43,TRUE,TRUE
"10521","20C",20,6,"CI5",662,925,38,TRUE,TRUE
"10522","20C",20,9,"CI5",417,925,22,TRUE,TRUE
"10523","20C",20,11,"CI5",361,925,17,TRUE,TRUE
"10524","20C",20,14,"CI5",164,925,10,TRUE,TRUE
"10525","20C",20,1,"CI5",834,928,46,TRUE,TRUE
"10526","20C",20,3,"CI5",789,928,43,TRUE,TRUE
"10527","20C",20,6,"CI5",559,928,38,TRUE,TRUE
"10528","20C",20,9,"CI5",499,928,22,TRUE,TRUE
"10529","20C",20,11,"CI5",257,928,17,TRUE,TRUE
"10530","20C",20,14,"CI5",216,928,10,TRUE,TRUE
"10531","20C",20,1,"CI5",936,931,46,TRUE,TRUE
"10532","20C",20,3,"CI5",901,931,43,TRUE,TRUE
"10533","20C",20,6,"CI5",683,931,38,TRUE,TRUE
"10534","20C",20,9,"CI5",429,931,22,TRUE,TRUE
"10535","20C",20,11,"CI5",306,931,17,TRUE,TRUE
"10536","20C",20,14,"CI5",112,931,10,TRUE,TRUE
"10537","20C",20,1,"CI5",717,936,46,TRUE,TRUE
"10538","20C",20,3,"CI5",634,936,43,TRUE,TRUE
"10539","20C",20,6,"CI5",571,936,38,TRUE,TRUE
"10540","20C",20,9,"CI5",390,936,22,TRUE,TRUE
"10541","20C",20,11,"CI5",288,936,17,TRUE,TRUE
"10542","20C",20,14,"CI5",128,936,10,TRUE,TRUE
"10543","20C",20,1,"CI5",773,937,46,TRUE,TRUE
"10544","20C",20,3,"CI5",711,937,43,TRUE,TRUE
"10545","20C",20,6,"CI5",612,937,38,TRUE,TRUE
"10546","20C",20,9,"CI5",296,937,22,TRUE,TRUE
"10547","20C",20,11,"CI5",285,937,17,TRUE,TRUE
"10548","20C",20,14,"CI5",78,937,10,TRUE,TRUE
"10549","20C",20,1,"CI5",818,942,46,TRUE,TRUE
"10550","20C",20,3,"CI5",748,942,43,TRUE,TRUE
"10551","20C",20,6,"CI5",676,942,38,TRUE,TRUE
"10552","20C",20,9,"CI5",505,942,22,TRUE,TRUE
"10553","20C",20,11,"CI5",282,942,17,TRUE,TRUE
"10554","20C",20,14,"CI5",164,942,10,TRUE,TRUE
"10555","20C",20,1,"CI5",950,947,46,TRUE,TRUE
"10556","20C",20,3,"CI5",639,947,43,TRUE,TRUE
"10557","20C",20,6,"CI5",568,947,38,TRUE,TRUE
"10558","20C",20,9,"CI5",420,947,22,TRUE,TRUE
"10559","20C",20,11,"CI5",283,947,17,TRUE,TRUE
"10560","20C",20,14,"CI5",187,947,10,TRUE,TRUE
"10561","20C",20,1,"CI5",817,949,46,TRUE,TRUE
"10562","20C",20,3,"CI5",771,949,43,TRUE,TRUE
"10563","20C",20,6,"CI5",661,949,38,TRUE,TRUE
"10564","20C",20,9,"CI5",470,949,22,TRUE,TRUE
"10565","20C",20,11,"CI5",381,949,17,TRUE,TRUE
"10566","20C",20,14,"CI5",195,949,10,TRUE,TRUE
"10567","20C",20,1,"CI5",898,957,46,TRUE,TRUE
"10568","20C",20,3,"CI5",720,957,43,TRUE,TRUE
"10569","20C",20,6,"CI5",569,957,38,TRUE,TRUE
"10570","20C",20,9,"CI5",477,957,22,TRUE,TRUE
"10571","20C",20,11,"CI5",327,957,17,TRUE,TRUE
"10572","20C",20,14,"CI5",99,957,10,TRUE,TRUE
"10573","20C",20,1,"CI5",775,965,46,TRUE,TRUE
"10574","20C",20,3,"CI5",763,965,43,TRUE,TRUE
"10575","20C",20,6,"CI5",700,965,38,TRUE,TRUE
"10576","20C",20,9,"CI5",406,965,22,TRUE,TRUE
"10577","20C",20,11,"CI5",241,965,17,TRUE,TRUE
"10578","20C",20,14,"CI5",178,965,10,TRUE,TRUE
"10579","20C",20,1,"CI5",799,969,46,TRUE,TRUE
"10580","20C",20,3,"CI5",709,969,43,TRUE,TRUE
"10581","20C",20,6,"CI5",592,969,38,TRUE,TRUE
"10582","20C",20,9,"CI5",364,969,22,TRUE,TRUE
"10583","20C",20,11,"CI5",265,969,17,TRUE,TRUE
"10584","20C",20,14,"CI5",194,969,10,TRUE,TRUE
"10585","20C",20,1,"CI5",783,970,46,TRUE,TRUE
"10586","20C",20,3,"CI5",634,970,43,TRUE,TRUE
"10587","20C",20,6,"CI5",561,970,38,TRUE,TRUE
"10588","20C",20,9,"CI5",314,970,22,TRUE,TRUE
"10589","20C",20,11,"CI5",259,970,17,TRUE,TRUE
"10590","20C",20,14,"CI5",199,970,10,TRUE,TRUE
"10591","20C",20,1,"CI5",783,974,46,TRUE,TRUE
"10592","20C",20,3,"CI5",705,974,43,TRUE,TRUE
"10593","20C",20,6,"CI5",539,974,38,TRUE,TRUE
"10594","20C",20,9,"CI5",390,974,22,TRUE,TRUE
"10595","20C",20,11,"CI5",242,974,17,TRUE,TRUE
"10596","20C",20,14,"CI5",207,974,10,TRUE,TRUE
"10597","20C",20,1,"CI5",857,975,46,TRUE,TRUE
"10598","20C",20,3,"CI5",716,975,43,TRUE,TRUE
"10599","20C",20,6,"CI5",602,975,38,TRUE,TRUE
"10600","20C",20,9,"CI5",575,975,22,TRUE,TRUE
"10601","20C",20,11,"CI5",317,975,17,TRUE,TRUE
"10602","20C",20,14,"CI5",98,975,10,TRUE,TRUE
"10603","20C",20,1,"CI5",920,977,46,TRUE,TRUE
"10604","20C",20,3,"CI5",839,977,43,TRUE,TRUE
"10605","20C",20,6,"CI5",664,977,38,TRUE,TRUE
"10606","20C",20,9,"CI5",338,977,22,TRUE,TRUE
"10607","20C",20,11,"CI5",315,977,17,TRUE,TRUE
"10608","20C",20,14,"CI5",124,977,10,TRUE,TRUE
"10609","20C",20,1,"CI5",779,982,46,TRUE,TRUE
"10610","20C",20,3,"CI5",681,982,43,TRUE,TRUE
"10611","20C",20,6,"CI5",600,982,38,TRUE,TRUE
"10612","20C",20,9,"CI5",440,982,22,TRUE,TRUE
"10613","20C",20,11,"CI5",302,982,17,TRUE,TRUE
"10614","20C",20,14,"CI5",209,982,10,TRUE,TRUE
"10615","20C",20,1,"CI5",977,983,46,TRUE,TRUE
"10616","20C",20,3,"CI5",849,983,43,TRUE,TRUE
"10617","20C",20,6,"CI5",470,983,38,TRUE,TRUE
"10618","20C",20,9,"CI5",444,983,22,TRUE,TRUE
"10619","20C",20,11,"CI5",340,983,17,TRUE,TRUE
"10620","20C",20,14,"CI5",172,983,10,TRUE,TRUE
"10621","20C",20,1,"CI5",767,998,46,TRUE,TRUE
"10622","20C",20,3,"CI5",556,998,43,TRUE,TRUE
"10623","20C",20,6,"CI5",489,998,38,TRUE,TRUE
"10624","20C",20,9,"CI5",461,998,22,TRUE,TRUE
"10625","20C",20,11,"CI5",318,998,17,TRUE,TRUE
"10626","20C",20,14,"CI5",188,998,10,TRUE,TRUE
"10627","20C",20,1,"CI5",716,1000,46,TRUE,TRUE
"10628","20C",20,3,"CI5",570,1000,43,TRUE,TRUE
"10629","20C",20,6,"CI5",524,1000,38,TRUE,TRUE
"10630","20C",20,9,"CI5",406,1000,22,TRUE,TRUE
"10631","20C",20,11,"CI5",303,1000,17,TRUE,TRUE
"10632","20C",20,14,"CI5",165,1000,10,TRUE,TRUE
"10633","14C",21,1,"CI5",501,11,36,TRUE,TRUE
"10634","14C",21,3,"CI5",321,11,21,TRUE,TRUE
"10635","14C",21,6,"CI5",241,11,15,TRUE,TRUE
"10636","14C",21,9,"CI5",210,11,9,TRUE,TRUE
"10637","14C",21,11,"CI5",139,11,6,TRUE,TRUE
"10638","14C",21,14,"CI5",91,11,6,TRUE,TRUE
"10639","14C",21,1,"CI5",537,16,36,TRUE,TRUE
"10640","14C",21,3,"CI5",360,16,21,TRUE,TRUE
"10641","14C",21,6,"CI5",294,16,15,TRUE,TRUE
"10642","14C",21,9,"CI5",227,16,9,TRUE,TRUE
"10643","14C",21,11,"CI5",164,16,6,TRUE,TRUE
"10644","14C",21,14,"CI5",91,16,6,TRUE,TRUE
"10645","14C",21,1,"CI5",600,23,36,TRUE,TRUE
"10646","14C",21,3,"CI5",405,23,21,TRUE,TRUE
"10647","14C",21,6,"CI5",325,23,15,TRUE,TRUE
"10648","14C",21,9,"CI5",141,23,9,TRUE,TRUE
"10649","14C",21,11,"CI5",113,23,6,TRUE,TRUE
"10650","14C",21,14,"CI5",97,23,6,TRUE,TRUE
"10651","14C",21,1,"CI5",450,29,36,TRUE,TRUE
"10652","14C",21,3,"CI5",277,29,21,TRUE,TRUE
"10653","14C",21,6,"CI5",217,29,15,TRUE,TRUE
"10654","14C",21,9,"CI5",210,29,9,TRUE,TRUE
"10655","14C",21,11,"CI5",152,29,6,TRUE,TRUE
"10656","14C",21,14,"CI5",113,29,6,TRUE,TRUE
"10657","14C",21,1,"CI5",621,38,36,TRUE,TRUE
"10658","14C",21,3,"CI5",390,38,21,TRUE,TRUE
"10659","14C",21,6,"CI5",248,38,15,TRUE,TRUE
"10660","14C",21,9,"CI5",150,38,9,TRUE,TRUE
"10661","14C",21,11,"CI5",95,38,6,TRUE,TRUE
"10662","14C",21,14,"CI5",59,38,6,TRUE,TRUE
"10663","14C",21,1,"CI5",566,42,36,TRUE,TRUE
"10664","14C",21,3,"CI5",287,42,21,TRUE,TRUE
"10665","14C",21,6,"CI5",129,42,15,TRUE,TRUE
"10666","14C",21,9,"CI5",124,42,9,TRUE,TRUE
"10667","14C",21,11,"CI5",90,42,6,TRUE,TRUE
"10668","14C",21,14,"CI5",78,42,6,TRUE,TRUE
"10669","14C",21,1,"CI5",630,43,36,TRUE,TRUE
"10670","14C",21,3,"CI5",336,43,21,TRUE,TRUE
"10671","14C",21,6,"CI5",268,43,15,TRUE,TRUE
"10672","14C",21,9,"CI5",178,43,9,TRUE,TRUE
"10673","14C",21,11,"CI5",171,43,6,TRUE,TRUE
"10674","14C",21,14,"CI5",149,43,6,TRUE,TRUE
"10675","14C",21,1,"CI5",581,44,36,TRUE,TRUE
"10676","14C",21,3,"CI5",298,44,21,TRUE,TRUE
"10677","14C",21,6,"CI5",213,44,15,TRUE,TRUE
"10678","14C",21,9,"CI5",155,44,9,TRUE,TRUE
"10679","14C",21,11,"CI5",92,44,6,TRUE,TRUE
"10680","14C",21,14,"CI5",81,44,6,TRUE,TRUE
"10681","14C",21,1,"CI5",603,47,36,TRUE,TRUE
"10682","14C",21,3,"CI5",364,47,21,TRUE,TRUE
"10683","14C",21,6,"CI5",313,47,15,TRUE,TRUE
"10684","14C",21,9,"CI5",135,47,9,TRUE,TRUE
"10685","14C",21,11,"CI5",59,47,6,TRUE,TRUE
"10686","14C",21,14,"CI5",57,47,6,TRUE,TRUE
"10687","14C",21,1,"CI5",521,48,36,TRUE,TRUE
"10688","14C",21,3,"CI5",311,48,21,TRUE,TRUE
"10689","14C",21,6,"CI5",251,48,15,TRUE,TRUE
"10690","14C",21,9,"CI5",173,48,9,TRUE,TRUE
"10691","14C",21,11,"CI5",145,48,6,TRUE,TRUE
"10692","14C",21,14,"CI5",129,48,6,TRUE,TRUE
"10693","14C",21,1,"CI5",814,49,36,TRUE,TRUE
"10694","14C",21,3,"CI5",272,49,21,TRUE,TRUE
"10695","14C",21,6,"CI5",225,49,15,TRUE,TRUE
"10696","14C",21,9,"CI5",126,49,9,TRUE,TRUE
"10697","14C",21,11,"CI5",83,49,6,TRUE,TRUE
"10698","14C",21,14,"CI5",78,49,6,TRUE,TRUE
"10699","14C",21,1,"CI5",624,56,36,TRUE,TRUE
"10700","14C",21,3,"CI5",290,56,21,TRUE,TRUE
"10701","14C",21,6,"CI5",253,56,15,TRUE,TRUE
"10702","14C",21,9,"CI5",149,56,9,TRUE,TRUE
"10703","14C",21,11,"CI5",122,56,6,TRUE,TRUE
"10704","14C",21,14,"CI5",69,56,6,TRUE,TRUE
"10705","14C",21,1,"CI5",539,66,36,TRUE,TRUE
"10706","14C",21,3,"CI5",353,66,21,TRUE,TRUE
"10707","14C",21,6,"CI5",224,66,15,TRUE,TRUE
"10708","14C",21,9,"CI5",131,66,9,TRUE,TRUE
"10709","14C",21,11,"CI5",98,66,6,TRUE,TRUE
"10710","14C",21,14,"CI5",71,66,6,TRUE,TRUE
"10711","14C",21,1,"CI5",474,68,36,TRUE,TRUE
"10712","14C",21,3,"CI5",414,68,21,TRUE,TRUE
"10713","14C",21,6,"CI5",283,68,15,TRUE,TRUE
"10714","14C",21,9,"CI5",168,68,9,TRUE,TRUE
"10715","14C",21,11,"CI5",160,68,6,TRUE,TRUE
"10716","14C",21,14,"CI5",70,68,6,TRUE,TRUE
"10717","14C",21,1,"CI5",581,70,36,TRUE,TRUE
"10718","14C",21,3,"CI5",345,70,21,TRUE,TRUE
"10719","14C",21,6,"CI5",310,70,15,TRUE,TRUE
"10720","14C",21,9,"CI5",282,70,9,TRUE,TRUE
"10721","14C",21,11,"CI5",92,70,6,TRUE,TRUE
"10722","14C",21,14,"CI5",56,70,6,TRUE,TRUE
"10723","14C",21,1,"CI5",606,72,36,TRUE,TRUE
"10724","14C",21,3,"CI5",462,72,21,TRUE,TRUE
"10725","14C",21,6,"CI5",210,72,15,TRUE,TRUE
"10726","14C",21,9,"CI5",197,72,9,TRUE,TRUE
"10727","14C",21,11,"CI5",98,72,6,TRUE,TRUE
"10728","14C",21,14,"CI5",78,72,6,TRUE,TRUE
"10729","14C",21,1,"CI5",560,73,36,TRUE,TRUE
"10730","14C",21,3,"CI5",384,73,21,TRUE,TRUE
"10731","14C",21,6,"CI5",372,73,15,TRUE,TRUE
"10732","14C",21,9,"CI5",284,73,9,TRUE,TRUE
"10733","14C",21,11,"CI5",175,73,6,TRUE,TRUE
"10734","14C",21,14,"CI5",74,73,6,TRUE,TRUE
"10735","14C",21,1,"CI5",523,80,36,TRUE,TRUE
"10736","14C",21,3,"CI5",328,80,21,TRUE,TRUE
"10737","14C",21,6,"CI5",223,80,15,TRUE,TRUE
"10738","14C",21,9,"CI5",221,80,9,TRUE,TRUE
"10739","14C",21,11,"CI5",132,80,6,TRUE,TRUE
"10740","14C",21,14,"CI5",78,80,6,TRUE,TRUE
"10741","14C",21,1,"CI5",486,85,36,TRUE,TRUE
"10742","14C",21,3,"CI5",387,85,21,TRUE,TRUE
"10743","14C",21,6,"CI5",268,85,15,TRUE,TRUE
"10744","14C",21,9,"CI5",205,85,9,TRUE,TRUE
"10745","14C",21,11,"CI5",125,85,6,TRUE,TRUE
"10746","14C",21,14,"CI5",116,85,6,TRUE,TRUE
"10747","14C",21,1,"CI5",703,86,36,TRUE,TRUE
"10748","14C",21,3,"CI5",339,86,21,TRUE,TRUE
"10749","14C",21,6,"CI5",300,86,15,TRUE,TRUE
"10750","14C",21,9,"CI5",129,86,9,TRUE,TRUE
"10751","14C",21,11,"CI5",84,86,6,TRUE,TRUE
"10752","14C",21,14,"CI5",75,86,6,TRUE,TRUE
"10753","14C",21,1,"CI5",634,87,36,TRUE,TRUE
"10754","14C",21,3,"CI5",386,87,21,TRUE,TRUE
"10755","14C",21,6,"CI5",325,87,15,TRUE,TRUE
"10756","14C",21,9,"CI5",163,87,9,TRUE,TRUE
"10757","14C",21,11,"CI5",127,87,6,TRUE,TRUE
"10758","14C",21,14,"CI5",95,87,6,TRUE,TRUE
"10759","14C",21,1,"CI5",503,88,36,TRUE,TRUE
"10760","14C",21,3,"CI5",426,88,21,TRUE,TRUE
"10761","14C",21,6,"CI5",244,88,15,TRUE,TRUE
"10762","14C",21,9,"CI5",182,88,9,TRUE,TRUE
"10763","14C",21,11,"CI5",110,88,6,TRUE,TRUE
"10764","14C",21,14,"CI5",110,88,6,TRUE,TRUE
"10765","14C",21,1,"CI5",594,89,36,TRUE,TRUE
"10766","14C",21,3,"CI5",341,89,21,TRUE,TRUE
"10767","14C",21,6,"CI5",227,89,15,TRUE,TRUE
"10768","14C",21,9,"CI5",177,89,9,TRUE,TRUE
"10769","14C",21,11,"CI5",138,89,6,TRUE,TRUE
"10770","14C",21,14,"CI5",93,89,6,TRUE,TRUE
"10771","14C",21,1,"CI5",497,92,36,TRUE,TRUE
"10772","14C",21,3,"CI5",336,92,21,TRUE,TRUE
"10773","14C",21,6,"CI5",207,92,15,TRUE,TRUE
"10774","14C",21,9,"CI5",200,92,9,TRUE,TRUE
"10775","14C",21,11,"CI5",93,92,6,TRUE,TRUE
"10776","14C",21,14,"CI5",77,92,6,TRUE,TRUE
"10777","14C",21,1,"CI5",648,94,36,TRUE,TRUE
"10778","14C",21,3,"CI5",399,94,21,TRUE,TRUE
"10779","14C",21,6,"CI5",247,94,15,TRUE,TRUE
"10780","14C",21,9,"CI5",206,94,9,TRUE,TRUE
"10781","14C",21,11,"CI5",195,94,6,TRUE,TRUE
"10782","14C",21,14,"CI5",172,94,6,TRUE,TRUE
"10783","14C",21,1,"CI5",715,96,36,TRUE,TRUE
"10784","14C",21,3,"CI5",459,96,21,TRUE,TRUE
"10785","14C",21,6,"CI5",306,96,15,TRUE,TRUE
"10786","14C",21,9,"CI5",185,96,9,TRUE,TRUE
"10787","14C",21,11,"CI5",112,96,6,TRUE,TRUE
"10788","14C",21,14,"CI5",47,96,6,TRUE,TRUE
"10789","14C",21,1,"CI5",657,97,36,TRUE,TRUE
"10790","14C",21,3,"CI5",402,97,21,TRUE,TRUE
"10791","14C",21,6,"CI5",232,97,15,TRUE,TRUE
"10792","14C",21,9,"CI5",213,97,9,TRUE,TRUE
"10793","14C",21,11,"CI5",159,97,6,TRUE,TRUE
"10794","14C",21,14,"CI5",109,97,6,TRUE,TRUE
"10795","14C",21,1,"CI5",632,98,36,TRUE,TRUE
"10796","14C",21,3,"CI5",406,98,21,TRUE,TRUE
"10797","14C",21,6,"CI5",256,98,15,TRUE,TRUE
"10798","14C",21,9,"CI5",176,98,9,TRUE,TRUE
"10799","14C",21,11,"CI5",157,98,6,TRUE,TRUE
"10800","14C",21,14,"CI5",152,98,6,TRUE,TRUE
"10801","14C",21,1,"CI5",533,99,36,TRUE,TRUE
"10802","14C",21,3,"CI5",352,99,21,TRUE,TRUE
"10803","14C",21,6,"CI5",320,99,15,TRUE,TRUE
"10804","14C",21,9,"CI5",140,99,9,TRUE,TRUE
"10805","14C",21,11,"CI5",139,99,6,TRUE,TRUE
"10806","14C",21,14,"CI5",126,99,6,TRUE,TRUE
"10807","14C",21,1,"CI5",577,102,36,TRUE,TRUE
"10808","14C",21,3,"CI5",387,102,21,TRUE,TRUE
"10809","14C",21,6,"CI5",282,102,15,TRUE,TRUE
"10810","14C",21,9,"CI5",214,102,9,TRUE,TRUE
"10811","14C",21,11,"CI5",141,102,6,TRUE,TRUE
"10812","14C",21,14,"CI5",127,102,6,TRUE,TRUE
"10813","14C",21,1,"CI5",581,109,36,TRUE,TRUE
"10814","14C",21,3,"CI5",427,109,21,TRUE,TRUE
"10815","14C",21,6,"CI5",227,109,15,TRUE,TRUE
"10816","14C",21,9,"CI5",125,109,9,TRUE,TRUE
"10817","14C",21,11,"CI5",114,109,6,TRUE,TRUE
"10818","14C",21,14,"CI5",102,109,6,TRUE,TRUE
"10819","14C",21,1,"CI5",439,111,36,TRUE,TRUE
"10820","14C",21,3,"CI5",413,111,21,TRUE,TRUE
"10821","14C",21,6,"CI5",251,111,15,TRUE,TRUE
"10822","14C",21,9,"CI5",205,111,9,TRUE,TRUE
"10823","14C",21,11,"CI5",121,111,6,TRUE,TRUE
"10824","14C",21,14,"CI5",113,111,6,TRUE,TRUE
"10825","14C",21,1,"CI5",497,117,36,TRUE,TRUE
"10826","14C",21,3,"CI5",426,117,21,TRUE,TRUE
"10827","14C",21,6,"CI5",302,117,15,TRUE,TRUE
"10828","14C",21,9,"CI5",180,117,9,TRUE,TRUE
"10829","14C",21,11,"CI5",148,117,6,TRUE,TRUE
"10830","14C",21,14,"CI5",92,117,6,TRUE,TRUE
"10831","14C",21,1,"CI5",726,123,36,TRUE,TRUE
"10832","14C",21,3,"CI5",343,123,21,TRUE,TRUE
"10833","14C",21,6,"CI5",290,123,15,TRUE,TRUE
"10834","14C",21,9,"CI5",163,123,9,TRUE,TRUE
"10835","14C",21,11,"CI5",104,123,6,TRUE,TRUE
"10836","14C",21,14,"CI5",56,123,6,TRUE,TRUE
"10837","14C",21,1,"CI5",667,127,36,TRUE,TRUE
"10838","14C",21,3,"CI5",380,127,21,TRUE,TRUE
"10839","14C",21,6,"CI5",171,127,15,TRUE,TRUE
"10840","14C",21,9,"CI5",123,127,9,TRUE,TRUE
"10841","14C",21,11,"CI5",103,127,6,TRUE,TRUE
"10842","14C",21,14,"CI5",91,127,6,TRUE,TRUE
"10843","14C",21,1,"CI5",612,130,36,TRUE,TRUE
"10844","14C",21,3,"CI5",329,130,21,TRUE,TRUE
"10845","14C",21,6,"CI5",269,130,15,TRUE,TRUE
"10846","14C",21,9,"CI5",204,130,9,TRUE,TRUE
"10847","14C",21,11,"CI5",143,130,6,TRUE,TRUE
"10848","14C",21,14,"CI5",114,130,6,TRUE,TRUE
"10849","14C",21,1,"CI5",740,132,36,TRUE,TRUE
"10850","14C",21,3,"CI5",351,132,21,TRUE,TRUE
"10851","14C",21,6,"CI5",226,132,15,TRUE,TRUE
"10852","14C",21,9,"CI5",157,132,9,TRUE,TRUE
"10853","14C",21,11,"CI5",69,132,6,TRUE,TRUE
"10854","14C",21,14,"CI5",38,132,6,TRUE,TRUE
"10855","14C",21,1,"CI5",503,138,36,TRUE,TRUE
"10856","14C",21,3,"CI5",250,138,21,TRUE,TRUE
"10857","14C",21,6,"CI5",241,138,15,TRUE,TRUE
"10858","14C",21,9,"CI5",144,138,9,TRUE,TRUE
"10859","14C",21,11,"CI5",96,138,6,TRUE,TRUE
"10860","14C",21,14,"CI5",52,138,6,TRUE,TRUE
"10861","14C",21,1,"CI5",476,141,36,TRUE,TRUE
"10862","14C",21,3,"CI5",425,141,21,TRUE,TRUE
"10863","14C",21,6,"CI5",260,141,15,TRUE,TRUE
"10864","14C",21,9,"CI5",210,141,9,TRUE,TRUE
"10865","14C",21,11,"CI5",138,141,6,TRUE,TRUE
"10866","14C",21,14,"CI5",69,141,6,TRUE,TRUE
"10867","14C",21,1,"CI5",637,149,36,TRUE,TRUE
"10868","14C",21,3,"CI5",338,149,21,TRUE,TRUE
"10869","14C",21,6,"CI5",194,149,15,TRUE,TRUE
"10870","14C",21,9,"CI5",185,149,9,TRUE,TRUE
"10871","14C",21,11,"CI5",74,149,6,TRUE,TRUE
"10872","14C",21,14,"CI5",63,149,6,TRUE,TRUE
"10873","14C",21,1,"CI5",461,152,36,TRUE,TRUE
"10874","14C",21,3,"CI5",361,152,21,TRUE,TRUE
"10875","14C",21,6,"CI5",355,152,15,TRUE,TRUE
"10876","14C",21,9,"CI5",165,152,9,TRUE,TRUE
"10877","14C",21,11,"CI5",130,152,6,TRUE,TRUE
"10878","14C",21,14,"CI5",94,152,6,TRUE,TRUE
"10879","14C",21,1,"CI5",610,156,36,TRUE,TRUE
"10880","14C",21,3,"CI5",395,156,21,TRUE,TRUE
"10881","14C",21,6,"CI5",276,156,15,TRUE,TRUE
"10882","14C",21,9,"CI5",130,156,9,TRUE,TRUE
"10883","14C",21,11,"CI5",93,156,6,TRUE,TRUE
"10884","14C",21,14,"CI5",77,156,6,TRUE,TRUE
"10885","14C",21,1,"CI5",636,157,36,TRUE,TRUE
"10886","14C",21,3,"CI5",445,157,21,TRUE,TRUE
"10887","14C",21,6,"CI5",292,157,15,TRUE,TRUE
"10888","14C",21,9,"CI5",127,157,9,TRUE,TRUE
"10889","14C",21,11,"CI5",98,157,6,TRUE,TRUE
"10890","14C",21,14,"CI5",85,157,6,TRUE,TRUE
"10891","14C",21,1,"CI5",604,158,36,TRUE,TRUE
"10892","14C",21,3,"CI5",457,158,21,TRUE,TRUE
"10893","14C",21,6,"CI5",291,158,15,TRUE,TRUE
"10894","14C",21,9,"CI5",181,158,9,TRUE,TRUE
"10895","14C",21,11,"CI5",135,158,6,TRUE,TRUE
"10896","14C",21,14,"CI5",83,158,6,TRUE,TRUE
"10897","14C",21,1,"CI5",595,163,36,TRUE,TRUE
"10898","14C",21,3,"CI5",415,163,21,TRUE,TRUE
"10899","14C",21,6,"CI5",214,163,15,TRUE,TRUE
"10900","14C",21,9,"CI5",124,163,9,TRUE,TRUE
"10901","14C",21,11,"CI5",103,163,6,TRUE,TRUE
"10902","14C",21,14,"CI5",77,163,6,TRUE,TRUE
"10903","14C",21,1,"CI5",503,164,36,TRUE,TRUE
"10904","14C",21,3,"CI5",292,164,21,TRUE,TRUE
"10905","14C",21,6,"CI5",279,164,15,TRUE,TRUE
"10906","14C",21,9,"CI5",162,164,9,TRUE,TRUE
"10907","14C",21,11,"CI5",129,164,6,TRUE,TRUE
"10908","14C",21,14,"CI5",57,164,6,TRUE,TRUE
"10909","14C",21,1,"CI5",466,166,36,TRUE,TRUE
"10910","14C",21,3,"CI5",322,166,21,TRUE,TRUE
"10911","14C",21,6,"CI5",284,166,15,TRUE,TRUE
"10912","14C",21,9,"CI5",177,166,9,TRUE,TRUE
"10913","14C",21,11,"CI5",161,166,6,TRUE,TRUE
"10914","14C",21,14,"CI5",98,166,6,TRUE,TRUE
"10915","14C",21,1,"CI5",618,167,36,TRUE,TRUE
"10916","14C",21,3,"CI5",320,167,21,TRUE,TRUE
"10917","14C",21,6,"CI5",312,167,15,TRUE,TRUE
"10918","14C",21,9,"CI5",156,167,9,TRUE,TRUE
"10919","14C",21,11,"CI5",101,167,6,TRUE,TRUE
"10920","14C",21,14,"CI5",62,167,6,TRUE,TRUE
"10921","14C",21,1,"CI5",633,173,36,TRUE,TRUE
"10922","14C",21,3,"CI5",406,173,21,TRUE,TRUE
"10923","14C",21,6,"CI5",392,173,15,TRUE,TRUE
"10924","14C",21,9,"CI5",151,173,9,TRUE,TRUE
"10925","14C",21,11,"CI5",86,173,6,TRUE,TRUE
"10926","14C",21,14,"CI5",86,173,6,TRUE,TRUE
"10927","14C",21,1,"CI5",526,178,36,TRUE,TRUE
"10928","14C",21,3,"CI5",323,178,21,TRUE,TRUE
"10929","14C",21,6,"CI5",257,178,15,TRUE,TRUE
"10930","14C",21,9,"CI5",250,178,9,TRUE,TRUE
"10931","14C",21,11,"CI5",61,178,6,TRUE,TRUE
"10932","14C",21,14,"CI5",60,178,6,TRUE,TRUE
"10933","14C",21,1,"CI5",690,186,36,TRUE,TRUE
"10934","14C",21,3,"CI5",348,186,21,TRUE,TRUE
"10935","14C",21,6,"CI5",334,186,15,TRUE,TRUE
"10936","14C",21,9,"CI5",137,186,9,TRUE,TRUE
"10937","14C",21,11,"CI5",125,186,6,TRUE,TRUE
"10938","14C",21,14,"CI5",120,186,6,TRUE,TRUE
"10939","14C",21,1,"CI5",618,196,36,TRUE,TRUE
"10940","14C",21,3,"CI5",421,196,21,TRUE,TRUE
"10941","14C",21,6,"CI5",267,196,15,TRUE,TRUE
"10942","14C",21,9,"CI5",182,196,9,TRUE,TRUE
"10943","14C",21,11,"CI5",166,196,6,TRUE,TRUE
"10944","14C",21,14,"CI5",98,196,6,TRUE,TRUE
"10945","14C",21,1,"CI5",672,197,36,TRUE,TRUE
"10946","14C",21,3,"CI5",452,197,21,TRUE,TRUE
"10947","14C",21,6,"CI5",184,197,15,TRUE,TRUE
"10948","14C",21,9,"CI5",173,197,9,TRUE,TRUE
